Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
cov_EmpiricalCovariance,0.225,0.35,0.25,0.2,0.125,0.175,0.15,0.3,0.25,0.25,0.225,0.325,0.25,0.175,0.275,0.15,0.225,0.125,0.225,0.15,0.25,0.075,0.275,0.2,0.1,0.1,0.2,0.3,0.225,0.3
cov_EllipticEnvelope,0.2,0.175,0.275,0.35,0.275,0.175,0.225,0.175,0.275,0.3,0.2,0.2,0.2,0.3,0.175,0.225,0.15,0.2,0.25,0.275,0.175,0.225,0.2,0.25,0.25,0.2,0.2,0.15,0.125,0.175
cov_GraphicalLasso,0.275,0.325,0.225,0.225,0.15,0.175,0.175,0.3,0.275,0.225,0.25,0.3,0.25,0.15,0.25,0.175,0.225,0.125,0.2,0.15,0.25,0.125,0.3,0.2,0.15,0.1,0.25,0.275,0.225,0.3
cov_GraphicalLassoCV,0.175,0.175,0.225,0.3,0.175,0.2,0.125,0.275,0.2,0.225,0.15,0.25,0.275,0.2,0.2,0.175,0.225,0.15,0.25,0.225,0.35,0.125,0.3,0.2,0.15,0.25,0.175,0.325,0.25,0.15
cov_LedoitWolf,0.2,0.225,0.225,0.15,0.225,0.175,0.15,0.3,0.175,0.25,0.175,0.35,0.275,0.2,0.275,0.2,0.275,0.1,0.15,0.225,0.35,0.175,0.275,0.2,0.25,0.15,0.175,0.35,0.25,0.225
cov_MinCovDet,0.2,0.2,0.25,0.375,0.225,0.15,0.25,0.225,0.3,0.175,0.175,0.275,0.125,0.275,0.275,0.275,0.3,0.2,0.125,0.2,0.275,0.2,0.275,0.2,0.2,0.15,0.275,0.15,0.175,0.25
cov_OAS,0.25,0.325,0.2,0.25,0.15,0.2,0.175,0.3,0.225,0.225,0.15,0.275,0.275,0.15,0.275,0.2,0.2,0.1,0.275,0.175,0.25,0.1,0.3,0.225,0.125,0.1,0.225,0.275,0.225,0.25
cov_ShrunkCovariance,0.225,0.35,0.25,0.2,0.125,0.175,0.15,0.3,0.25,0.25,0.225,0.325,0.25,0.175,0.275,0.15,0.225,0.125,0.225,0.15,0.25,0.075,0.275,0.2,0.1,0.1,0.2,0.3,0.225,0.3
prec_EmpiricalCovariance,0.25,0.325,0.3,0.275,0.25,0.25,0.25,0.4,0.325,0.275,0.325,0.35,0.2,0.2,0.3,0.175,0.275,0.15,0.3,0.25,0.275,0.3,0.25,0.225,0.225,0.175,0.225,0.275,0.225,0.3
prec_EllipticEnvelope,0.2,0.3,0.175,0.35,0.375,0.225,0.3,0.275,0.3,0.225,0.325,0.325,0.25,0.25,0.25,0.175,0.375,0.325,0.225,0.275,0.25,0.175,0.3,0.25,0.2,0.275,0.2,0.175,0.2,0.2
prec_GraphicalLasso,0.25,0.3,0.3,0.225,0.15,0.325,0.15,0.3,0.425,0.25,0.375,0.4,0.225,0.225,0.275,0.2,0.3,0.2,0.25,0.25,0.25,0.275,0.275,0.325,0.175,0.175,0.2,0.35,0.2,0.375
prec_GraphicalLassoCV,0.25,0.2,0.35,0.225,0.25,0.325,0.35,0.225,0.35,0.25,0.275,0.375,0.2,0.25,0.225,0.175,0.25,0.275,0.2,0.275,0.3,0.25,0.175,0.325,0.225,0.225,0.175,0.275,0.15,0.3
prec_LedoitWolf,0.25,0.225,0.25,0.15,0.25,0.2,0.325,0.3,0.25,0.25,0.2,0.275,0.075,0.175,0.175,0.2,0.325,0.2,0.2,0.225,0.2,0.25,0.25,0.325,0.15,0.1,0.1,0.25,0.2,0.3
prec_MinCovDet,0.15,0.275,0.35,0.35,0.275,0.3,0.3,0.275,0.25,0.325,0.3,0.35,0.275,0.275,0.25,0.225,0.4,0.35,0.225,0.3,0.25,0.125,0.3,0.225,0.25,0.225,0.15,0.225,0.25,0.325
prec_OAS,0.3,0.275,0.25,0.2,0.15,0.275,0.25,0.35,0.35,0.25,0.325,0.4,0.25,0.225,0.225,0.225,0.3,0.2,0.275,0.275,0.225,0.25,0.275,0.225,0.175,0.15,0.15,0.275,0.225,0.35
prec_ShrunkCovariance,0.2,0.225,0.3,0.125,0.25,0.275,0.125,0.325,0.375,0.3,0.3,0.325,0.2,0.225,0.225,0.25,0.3,0.175,0.25,0.35,0.25,0.25,0.25,0.175,0.225,0.125,0.25,0.325,0.225,0.375
spearmanr,0.275,0.175,0.225,0.125,0.2,0.325,0.125,0.35,0.275,0.375,0.325,0.275,0.325,0.25,0.275,0.25,0.3,0.25,0.325,0.25,0.175,0.175,0.325,0.325,0.2,0.2,0.2,0.325,0.15,0.25
