Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
cov_EmpiricalCovariance,0.9,0.8,0.925,0.85,0.9,0.875,0.875,0.85,0.875,0.95,0.85,0.85,0.9,0.9,0.75,0.925,0.875,0.9,0.925,0.95,0.925,0.85,0.825,0.875,0.85,0.925,0.9,0.875,0.925,0.85
cov_EllipticEnvelope,0.85,0.85,0.875,0.85,0.925,0.925,0.85,0.85,0.925,0.925,0.875,0.8,0.9,0.875,0.85,0.925,0.8,0.675,0.875,0.875,0.875,0.9,0.9,0.925,0.85,0.9,0.875,0.775,0.875,0.75
cov_GraphicalLasso,0.9,0.8,0.925,0.875,0.9,0.875,0.85,0.85,0.875,0.925,0.85,0.85,0.925,0.875,0.75,0.925,0.85,0.9,0.925,0.95,0.925,0.825,0.8,0.875,0.85,0.925,0.9,0.875,0.85,0.85
cov_GraphicalLassoCV,0.875,0.775,0.925,0.9,0.85,0.8,0.85,0.75,0.875,0.8,0.675,0.775,0.825,0.875,0.75,0.85,0.75,0.75,0.825,0.875,0.875,0.825,0.8,0.775,0.85,0.925,0.725,0.825,0.825,0.85
cov_LedoitWolf,0.85,0.85,0.925,0.825,0.9,0.8,0.775,0.825,0.85,0.875,0.75,0.75,0.775,0.825,0.75,0.9,0.85,0.85,0.85,0.8,0.825,0.75,0.65,0.875,0.8,0.9,0.9,0.775,0.8,0.775
cov_MinCovDet,0.8,0.85,0.775,0.775,0.9,0.875,0.775,0.85,0.9,0.875,0.85,0.85,0.9,0.825,0.85,0.9,0.775,0.7,0.875,0.9,0.9,0.85,0.85,0.9,0.825,0.825,0.9,0.7,0.775,0.8
cov_OAS,0.9,0.825,0.925,0.9,0.875,0.875,0.875,0.85,0.9,0.925,0.85,0.8,0.9,0.9,0.775,0.925,0.875,0.875,0.925,0.925,0.875,0.775,0.8,0.875,0.85,0.925,0.9,0.85,0.9,0.85
cov_ShrunkCovariance,0.9,0.8,0.925,0.85,0.9,0.875,0.875,0.85,0.875,0.95,0.85,0.85,0.9,0.9,0.75,0.925,0.875,0.9,0.925,0.95,0.925,0.85,0.825,0.875,0.85,0.925,0.9,0.875,0.925,0.85
prec_EmpiricalCovariance,0.75,0.775,0.8,0.8,0.925,0.775,0.85,0.75,0.85,0.85,0.75,0.875,0.8,0.75,0.725,0.775,0.95,0.95,0.875,0.85,0.75,0.825,0.725,0.8,0.775,0.825,0.925,0.775,0.825,0.95
prec_EllipticEnvelope,0.725,0.45,0.55,0.7,0.6,0.675,0.65,0.6,0.575,0.7,0.55,0.5,0.675,0.625,0.575,0.575,0.575,0.4,0.725,0.525,0.55,0.575,0.45,0.65,0.5,0.6,0.675,0.65,0.55,0.575
prec_GraphicalLasso,0.85,0.8,0.825,0.825,0.825,0.85,0.825,0.75,0.875,0.875,0.725,0.8,0.85,0.775,0.775,0.775,0.9,0.925,0.9,0.875,0.75,0.775,0.75,0.8,0.825,0.9,0.875,0.775,0.875,0.9
prec_GraphicalLassoCV,0.75,0.6,0.725,0.75,0.825,0.75,0.775,0.7,0.725,0.7,0.625,0.675,0.725,0.65,0.75,0.825,0.7,0.7,0.7,0.8,0.725,0.65,0.725,0.825,0.7,0.85,0.85,0.75,0.725,0.8
prec_LedoitWolf,0.75,0.75,0.725,0.7,0.725,0.8,0.775,0.65,0.8,0.75,0.75,0.625,0.725,0.7,0.775,0.8,0.8,0.75,0.775,0.875,0.725,0.775,0.675,0.8,0.775,0.95,0.85,0.7,0.725,0.775
prec_MinCovDet,0.625,0.5,0.65,0.775,0.55,0.675,0.6,0.625,0.55,0.575,0.6,0.5,0.625,0.55,0.55,0.675,0.575,0.4,0.725,0.65,0.6,0.5,0.55,0.7,0.55,0.6,0.7,0.65,0.525,0.5
prec_OAS,0.8,0.85,0.825,0.825,0.775,0.875,0.825,0.7,0.85,0.9,0.725,0.775,0.85,0.775,0.8,0.825,0.9,0.9,0.825,0.875,0.75,0.825,0.775,0.875,0.825,0.95,0.875,0.8,0.875,0.85
prec_ShrunkCovariance,0.8,0.775,0.8,0.8,0.85,0.875,0.85,0.7,0.85,0.8,0.725,0.825,0.85,0.775,0.8,0.85,0.85,0.875,0.85,0.875,0.75,0.875,0.775,0.925,0.85,0.875,0.8,0.775,0.825,0.9
